,name,star,rating,platforms,n_ratings,genres,content,img
0,塞尔达传说 旷野之息 - 英杰们的诗篇 ゼルダの伝説 ブレス オブ ザ ワイルド 英傑たちの詩,50,9.7,Nintendo Switch,2931,游戏 / 冒险 / 动作,这天夜里终于打穿了英杰之诗，见到久违的Mipha，骑上心爱的摩托，久久不能平静。再一次站在初始台地，远眺这片旷野，听了又听公主的呼唤。,https://img1.doubanio.com/lpic/s29663617.jpg
1,双人成行 It Takes Two,50,9.7,PC / PS4 / Xbox One / PS5 / XSX,21282,游戏 / 冒险 / 动作,我死了我死了我死了你别死！！好我活了你可以死了,https://img2.doubanio.com/lpic/s33857713.jpg
2,巫师3：狂猎 石之心 The Witcher 3: Wild Hunt - Hearts of Stone,50,9.7,PC / PS4 / Xbox One / Nintendo Switch / PS5 / XSX,8767,游戏 / 角色扮演 / 冒险,dlc里面叙事的神，感觉故事性比血与酒还好,https://img2.doubanio.com/lpic/s28307313.jpg
3,巫师3：狂猎 血与酒 The Witcher 3: Wild Hunt - Blood and Wine,50,9.7,PC / PS4 / Xbox One / Nintendo Switch / PS5 / XSX,9912,游戏 / 角色扮演 / 冒险 / 动作,请购买steam正版吧，你会发现cdp公司需要玩家的支持，而他们的定价之低，游戏耐玩度精致度之高，根本就太不对劲了。,https://img1.doubanio.com/lpic/s29296639.jpg
4,侠盗猎车手5 Grand Theft Auto V,50,9.7,PC / PS4 / Xbox One / PS3 / Xbox 360 / PS5 / XSX,2009,游戏 / 冒险 / 动作,想封这个游戏的，你一天会忘记成千上万件事，何不把这一件也忘了？,https://img2.doubanio.com/lpic/s34234833.jpg
5,最后生还者 第一部 The Last of Us Part I,50,9.7,PC / PS5,122,游戏 / 冒险 / 动作,本人没有参与过制作的游戏，值得一玩,https://img1.doubanio.com/lpic/s34239307.jpg
6,半衰期：爱莉克斯 Half-Life: Alyx,50,9.7,PC / Steam VR / Valve Index / HTC Vive / Oculus Rift / Oculus Quest,717,游戏 / 第一人称射击 / 射击 / 冒险 / 动作,人类的未来就是这样了：戴着VR，喝着营养液维持生理机能运转，全员沉浸虚拟现实，高度social distancing,https://img2.doubanio.com/lpic/s33602432.jpg
7,锈湖：根源 Rusty Lake: Roots,50,9.7,PC / Mac / iPhone / iPad / Android,9055,游戏 / 益智 / 冒险,从晚上7点多玩到凌晨12点半，不靠攻略只靠两个女大学生的大脑，成功通关。,https://img1.doubanio.com/lpic/s29558859.jpg
8,荒野大镖客：救赎2 Red Dead Redemption 2,50,9.7,PC / PS4 / Xbox One / PS5 / XSX,25618,游戏 / 冒险 / 动作,兄弟们，这是我们这个时代最伟大的游戏。,https://img9.doubanio.com/lpic/s29104824.jpg
9,逆转裁判3 逆転裁判3,50,9.7,NDS / GBA,4673,游戏 / 文字冒险 / 冒险,"老实讲2、3两个案子质量不高，像买一赠一里的赠品，又或许1,4,5的光芒太甚。逆3靠鞭尸姐姐和血祭姐夫把系列送上神坛的同时，也让续作难有退路。千奈美作为最敬业的反派，真乃业界标杆👍对别人狠，对自己更狠，能动手绝不废话，不洗白，不甩锅原生家庭，一个纯粹的boss。",https://img1.doubanio.com/lpic/s29355068.jpg
10,宇宙机器人 无线控制器使用指南 Astro's Playroom,50,9.7,PS5,1776,游戏 / 益智 / 冒险 / 动作,翻译翻译，什么叫他妈的企业文化！,https://img1.doubanio.com/lpic/s33912727.jpg
11,以撒的燔祭：忏悔 The Binding of Isaac: Repentance,50,9.6,PC,300,游戏 / 冒险 / 动作,让玩家对于购买dlc这一行为感到忏悔（x,https://img9.doubanio.com/lpic/s33866106.jpg
12,方块逃脱：悖论 Cube Escape: Paradox,50,9.6,PC / Mac / iPhone / iPad / Android,6362,游戏 / 益智 / 冒险,年纪越大胆子越小了……点击锁孔的时候几乎把手机拿到了臂长的极致距离,https://img9.doubanio.com/lpic/s29874366.jpg
13,仙剑奇侠传98柔情篇,50,9.6,PC / Android,4955,游戏 / 角色扮演 / 冒险,2000年第一次在网吧看见有个男孩见了女孩的裸体后就能名正言顺地娶她后，一直为这件事诧异不已。。。,https://img9.doubanio.com/lpic/s28049804.jpg
14,隐形守护者,50,9.6,PC / Mac / iPhone / iPad / Android,30708,游戏 / 文字冒险 / 冒险,这个电影游戏让大家接受的爱国主义教育比横店打一年鬼子都多！,https://img2.doubanio.com/lpic/s29986331.jpg
15,宝可梦 银 ポケットモンスター 銀,50,9.6,GB,1441,游戏 / 角色扮演 / 冒险,"心中最棒的口袋妖怪（还是不习惯叫宝可梦）正统之作，也是我的PM入坑之作，写一万字心得都不为过的那种。还记得第一次发现通关之后，还有另外一个关东世界等我去冒险的那种前所未有的不可思议心情，从这作以后再也体会不到了。
和RED在白金山上的最高对决，愤怒湖的红色暴鲤龙，黄金市的道馆，肥大使用势拳……林林总总，都将成为伴随我一生的美好记忆。",https://img2.doubanio.com/lpic/s28394081.jpg
16,幽灵诡计 ゴーストトリック,50,9.6,iPhone / iPad / NDS,3244,游戏 / 冒险 / 益智,"真是鬼斧神工的剧本，和石头门的结局有着异曲同工之妙。不同的事，巧舟居然把一二三周目的故事全部安排进了我们的第一视角里，而且合乎逻辑。

自古悲剧出神作，但为什么这样的大团圆结局是每个人愿意去看到，并且为之拍手叫好的？
因为我们知道此刻的相逢，是千千万万个奇迹的汇流，是每个向善的灵魂奋战的结果。

神作。",https://img1.doubanio.com/lpic/s29790279.jpg
17,黑暗之魂3：薪火消逝 Dark Souls III: The Fire Fades Edition,50,9.6,PC / PS4 / Xbox One,998,游戏 / 角色扮演 / 冒险 / 动作,"我真的太喜欢这个游戏了，这游戏并不歧视手残，只是需要你的心态，冷静冷静，然后挑战自己。
在死了100次之后第101次尝试击杀无名王者，boss低血量反杀我已经四五次了，这次在他剩最后1%血的时候我的手开始抖了，能听见自己心跳，这种感觉棒极了",https://img1.doubanio.com/lpic/s30026029.jpg
